r,g,b,g_fraction,pH
133,98,30,0.375478927,7
172,139,106,0.333333333,6.8
176,152,114,0.343891403,6.6
158,132,51,0.387096774,6.6
197,164,123,0.338842975,8.35
190,147,99,0.337155963,7.3
191,162,145,0.325301205,7.4
167,151,153,0.32059448,7.5
152,121,68,0.35483871,7.4
148,118,48,0.375796178,7.4
133,103,55,0.35395189,7.2
176,137,81,0.347715736,7.3
203,155,115,0.32769556,7.8
169,136,96,0.33915212,7.6
175,134,102,0.326034063,7.5
162,128,88,0.338624339,7.2
162,131,72,0.35890411,7.3
168,128,76,0.344086022,7.4
156,119,66,0.348973607,7.4
163,131,93,0.338501292,7.4
182,146,10,0.431952663,7.7
175,138,93,0.339901478,7.57
207,186,157,0.338181818,7.5
186,144,94,0.339622642,7.2
227,209,173,0.34318555,7.8
187,155,117,0.337690632,8
226,186,125,0.346368715,8
196,146,109,0.323725055,6.9
203,168,140,0.328767123,7.5
155,137,89,0.359580052,6.7
157,134,80,0.361185984,6.6
179,129,67,0.344,6.4
230,181,123,0.338951311,7.9
208,161,119,0.329918033,7
196,150,101,0.33557047,6.9
176,139,69,0.361979167,6.5
182,136,50,0.369565217,5.5
128,105,27,0.403846154,7
185,155,91,0.35962877,6.6
152,122,52,0.374233129,6.4
229,210,152,0.355329949,6.8
255,220,162,0.345368917,7.1
176,169,123,0.361111111,5.6
173,28,43,0.114754098,5.5
169,145,85,0.363408521,6
189,164,110,0.354211663,6.5
167,154,99,0.366666667,6.5
164,160,113,0.366132723,6.4
158,150,111,0.357995227,7.2
186,154,97,0.352402746,6.5
